firstName,lastName,name,team,team_id,overall_rating,skin_color,hair_color,jersey_num,position,height,weight,agility_rating,speed_rating,strength_rating,throwPower_rating,catching_rating,pursuit_rating,manCoverage_rating,jumping_rating,kickPower_rating,face,helmet_r,head_r,waist_r,armLeft_r,armRight_r,leg_r,tattoo_r,sleeveLeft_r,sleeveRight_r,hand_r,undershirt,undershirt_r,visor_r
Christian,Matthew,CB_35_Christian_Matthew,Cardinals,1,69,0.25,brown,35,CB,74,195,85,85,50,25,67,62,60,64,75,0,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
Nate,Brooks,CB_37_Nate_Brooks,Cardinals,1,71,0.25,black,37,CB,72,192,94,81,56,20,69,61,63,63,75,1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0
Antonio,Hamilton,CB_33_Antonio_Hamilton,Cardinals,1,73,0.2,brown,33,CB,72,188,84,89,54,27,58,60,68,63,75,0,-1,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Jace,Whittaker,CB_39_Jace_Whittaker,Cardinals,1,71,0.3,black,39,CB,71,185,80,80,52,25,60,60,70,62,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Budda,Baker,S_3_Budda_Baker,Cardinals,1,90,0.3,black,3,S,70,195,94,92,83,25,76,95,90,95,75,1,-1,-1,2,-1,-1,-1,7,0,0,0,0,0,0
Jalen,Thompson,S_34_Jalen_Thompson,Cardinals,1,77,0.3,black,34,S,71,190,85,90,60,22,72,77,73,81,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Deionte,Thompson,S_22_Deionte_Thompson,Cardinals,1,74,0.2,black,22,S,73,195,86,87,59,23,68,73,67,75,75,1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0
James,Wiggins,S_38_James_Wiggins,Cardinals,1,72,0.25,black,38,S,71,205,77,91,54,24,53,72,58,84,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Charles,Washington,S_28_Charles_Washington,Cardinals,1,70,0.35,black,28,S,70,192,77,88,52,21,58,68,56,83,75,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0
Tae,Daley,S_48_Tae_Daley,Cardinals,1,69,0.35,black,48,S,71,201,84,84,51,21,55,66,56,80,75,1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0
Javon,Hagan,S_32_Javon_Hagan,Cardinals,1,69,0.35,black,32,S,72,215,84,84,52,21,56,65,56,80,75,1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0
Matt,Prater,K_5_Matt_Prater,Cardinals,1,63,1,blonde,5,K,70,201,50,64,40,45,20,64,16,27,75,4,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Andy,Lee,P_14_Andy_Lee,Cardinals,1,65,1,blonde,14,P,73,185,46,71,43,45,35,25,10,40,75,5,-1,-1,2,-1,-1,-1,7,0,0,0,0,0,0
Nolan,Cooney,P_15_Nolan_Cooney,Cardinals,1,63,1,brown,15,P,75,202,51,43,45,17,25,10,10,43,75,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0
Marcus,Mariota,QB_1_Marcus_Mariota,Falcons,2,72,0.3,black,1,QB,76,222,88,88,54,72,62,35,10,60,75,4,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0
Desmond,Ridder,QB_4_Desmond_Ridder,Falcons,2,71,0.4,brown,4,QB,75,207,86,88,50,72,33,19,14,55,75,0,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Cordarrelle,Patterson,RB_84_Cordarrelle_Patterson,Falcons,2,85,0.25,black,84,RB,74,220,95,91,75,63,86,49,20,92,75,1,-1,-1,-1,-1,-1,-1,7,0,0,0,0,0,0
Damien,Williams,RB_6_Damien_Williams,Falcons,2,79,0.25,black,6,RB,71,221,87,89,67,28,72,46,14,85,75,1,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Tyler,Allgeier,RB_25_Tyler_Allgeier,Falcons,2,73,0.35,black,25,RB,71,220,85,84,58,26,59,39,19,80,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Keith,Smith,RB_40_Keith_Smith,Falcons,2,68,0.35,black,40,RB,72,240,82,75,57,25,62,75,62,68,75,1,-1,-1,1,-1,-1,-1,7,0,0,0,0,0,0
Jeremy,McNichols,RB_33_Jeremy_McNichols,Falcons,2,75,0.35,black,33,RB,69,214,89,89,57,26,66,40,18,67,75,1,0,-1,0,-1,-1,-1,7,0,0,0,0,0,0
Caleb,Huntley,RB_42_Caleb_Huntley,Falcons,2,67,0.35,brown,42,RB,70,229,85,73,55,24,57,73,62,67,75,0,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0
Avery,Williams,RB_35_Avery_Williams,Falcons,2,69,0.35,black,35,RB,69,195,77,82,57,25,50,56,44,65,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Qadree,Ollison,RB_30_Qadree_Ollison,Falcons,2,72,0.35,brown,30,RB,73,232,79,86,58,28,61,42,21,64,75,0,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0
Calvin,Ridley,WR_18_Calvin_Ridley,Falcons,2,86,0.2,black,18,WR,73,190,95,93,59,32,86,33,17,85,75,1,-1,-1,0,-1,-1,-1,2,0,0,0,0,0,0
Drake,London,WR_5_Drake_London,Falcons,2,83,0.4,black,5,WR,76,213,85,90,60,56,82,62,9,89,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Bryan,Edwards,WR_89_Bryan_Edwards,Falcons,2,78,0.35,brown,89,WR,75,215,86,89,61,32,70,39,46,80,75,0,-1,-1,-1,-1,-1,-1,7,0,0,0,0,0,0
Auden,Tate,WR_19_Auden_Tate,Falcons,2,76,0.35,black,19,WR,77,228,78,85,58,30,73,32,12,78,75,1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
Damiere,Byrd,WR_87_Damiere_Byrd,Falcons,2,75,0.35,brown,87,WR,69,175,93,93,48,35,60,37,16,68,75,0,-1,-1,2,-1,-1,-1,4,0,0,0,0,0,0
KhaDarel,Hodge,WR_12_KhaDarel_Hodge,Falcons,2,72,0.35,brown,12,WR,71,85,85,87,58,57,56,38,13,68,75,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Olamide,Zaccheaus,WR_17_Olamide_Zaccheaus,Falcons,2,72,0.35,black,17,WR,68,193,86,89,54,31,57,39,15,67,75,1,-1,-1,1,-1,-1,-1,2,0,0,0,0,0,0
Frank,Darby,WR_88_Frank_Darby,Falcons,2,70,0.35,brown,88,WR,73,200,83,88,53,31,54,42,21,65,75,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Kyle,Pitts,TE_8_Kyle_Pitts,Falcons,2,85,0.2,black,8,TE,78,246,89,91,76,48,90,39,16,92,75,1,-1,0,2,-1,-1,-1,0,0,0,0,0,0,0
Anthony,Firkser,TE_86_Anthony_Firkser,Falcons,2,67,0.9,black,86,TE,74,241,83,80,58,22,68,35,25,63,75,4,0,-1,0,-1,-1,-1,0,0,0,0,0,0,0
John,FitzPatrick,TE_85_John_FitzPatrick,Falcons,2,70,1,black,85,TE,79,250,69,79,63,25,73,36,12,76,75,1,0,-1,0,-1,-1,-1,1,0,0,0,0,0,0
Parker,Hesse,TE_46_Parker_Hesse,Falcons,2,64,1,black,46,TE,75,261,68,64,62,36,67,35,10,61,75,4,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Jake,Matthews,LT_70_Jake_Matthews,Falcons,2,79,1,blonde,70,LT,77,309,70,68,86,25,40,50,12,75,75,5,0,-1,2,-1,-1,-1,1,0,0,0,0,0,0
Matt,Hennessy,C_61_Matt_Hennessy,Falcons,2,67,0.35,brown,61,C,75,307,52,51,74,27,26,30,12,57,75,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,0
Jalen,Mayfield,LG_77_Jalen_Mayfield,Falcons,2,69,0.6,black,77,LG,77,320,56,59,76,13,20,35,10,63,75,1,-1,-1,2,-1,-1,-1,7,0,0,0,0,0,0
Drew,Dalman,C_67_Drew_Dalman,Falcons,2,66,0.35,brown,67,C,75,300,58,59,70,15,25,31,9,50,75,0,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0
Chris,Lindstrom,RG_63_Chris_Lindstrom,Falcons,2,81,1,blonde,63,RG,75,307,69,75,87,23,26,23,12,75,75,5,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Kaleb,McGary,RT_76_Kaleb_McGary,Falcons,2,71,1,black,76,RT,78,306,62,71,75,30,52,27,15,65,75,4,-1,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Grady,Jarrett,DE_97_Grady_Jarrett,Falcons,2,83,0,black,97,DE,72,305,71,69,91,26,30,89,25,76,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Marlon,Davidson,DE_90_Marlon_Davidson,Falcons,2,68,0.35,brown,90,DE,75,303,71,71,70,23,45,68,23,56,75,0,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0
Nick,Thurman,DE_91_Nick_Thurman,Falcons,2,64,0.35,brown,91,DE,76,305,59,66,68,23,26,63,19,58,75,0,-1,-1,1,-1,-1,-1,1,0,0,0,0,0,0
Bryce,Rodgers,DE_98_Bryce_Rodgers,Falcons,2,64,0.35,black,98,DE,74,309,67,65,67,18,30,62,19,57,75,1,0,0,2,-1,-1,-1,0,0,0,0,0,0,0
Derrick,Tangelo,DE_99_Derrick_Tangelo,Falcons,2,65,0.35,brown,99,DE,73,296,66,75,68,14,29,62,21,56,75,0,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0
Vincent,Taylor,DT_96_Vincent_Taylor,Falcons,2,73,0,brown,96,DT,74,296,61,69,78,19,33,74,22,68,75,0,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0
Ta'Quon,Graham,DT_95_Ta'Quon_Graham,Falcons,2,75,0.2,brown,95,DT,76,294,72,74,79,23,25,73,19,69,75,0,0,-1,-1,-1,-1,-1,6,0,0,0,0,0,0
Anthony,Rush,DT_94_Anthony_Rush,Falcons,2,59,0.35,brown,94,DT,77,350,58,63,58,20,35,63,11,54,75,0,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Timmy,Horne,DT_93_Timmy_Horne,Falcons,2,59,0,brown,93,DT,76,323,57,62,59,18,24,61,22,52,75,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Deion,Jones,LB_45_Deion_Jones,Falcons,2,87,0.25,black,45,LB,73,227,87,90,73,25,72,90,74,85,75,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
Rashaan,Evans,LB_54_Rashaan_Evans,Falcons,2,83,0.1,black,54,LB,74,232,85,84,83,25,56,86,56,75,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Nick,Kwiatkoski,LB_53_Nick_Kwiatkoski,Falcons,2,77,1,black,53,LB,74,242,82,80,70,25,58,74,60,78,75,1,-1,0,2,-1,-1,-1,0,0,0,0,0,0,0
Lorenzo,Carter,LB_9_Lorenzo_Carter,Falcons,2,77,0.35,black,9,LB,77,252,84,88,65,20,52,74,56,76,75,1,0,-1,2,-1,-1,-1,4,0,0,0,0,0,0
Troy,Andersen,LB_44_Troy_Andersen,Falcons,2,75,1,black,44,LB,76,235,90,90,58,70,52,65,60,67,75,1,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0
Arnold,Ebiketie,LB_47_Arnold_Ebiketie,Falcons,2,68,0.35,black,47,LB,75,256,82,82,59,38,40,64,40,68,75,1,-1,-1,1,-1,-1,-1,7,0,0,0,0,0,0
Mykal,Walker,LB_3_Mykal_Walker,Falcons,2,70,0.35,black,3,LB,75,230,81,86,54,25,1,63,54,69,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Jordan,Brailford,LB_49_Jordan_Brailford,Falcons,2,62,0.4,brown,49,LB,75,252,61,76,53,25,47,62,45,68,75,0,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0
Adetokunbo,Ogundeji,LB_92_Adetokunbo_Ogundeji,Falcons,2,63,0.35,black,92,LB,76,268,75,79,52,18,34,62,32,69,75,1,-1,-1,0,-1,-1,-1,2,0,0,0,0,0,0
DeAngelo,Malone,LB_51_DeAngelo_Malone,Falcons,2,63,0.25,black,51,LB,76,240,71,77,51,19,43,61,41,69,75,1,-1,-1,1,-1,-1,-1,3,0,0,0,0,0,0
Dorian,Etheridge,LB_48_Dorian_Etheridge,Falcons,2,62,0.35,brown,48,LB,75,230,70,75,51,18,42,60,40,69,75,0,-1,-1,1,-1,-1,-1,3,0,0,0,0,0,0
A.J.,Terrell,CB_24_A.J._Terrell,Falcons,2,87,0.15,black,24,CB,73,195,89,93,61,22,70,75,92,88,75,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
Casey,Hayward Jr,CB_29_Casey_Hayward Jr,Falcons,2,90,0.2,black,29,CB,71,192,92,90,73,30,77,85,95,90,75,1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Isaiah,Oliver,CB_26_Isaiah_Oliver,Falcons,2,81,0.4,black,26,CB,72,210,86,90,59,40,75,70,77,95,75,1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,0
Mike,Ford,CB_43_Mike_Ford,Falcons,2,80,0.35,black,43,CB,72,194,94,90,58,29,70,74,71,93,75,1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0
Cornell,Armstrong,CB_31_Cornell_Armstrong,Falcons,2,70,0.35,brown,31,CB,71,185,77,83,54,20,61,62,57,86,75,0,-1,-1,0,-1,-1,-1,7,0,0,0,0,0,0
Darren,Hall,CB_34_Darren_Hall,Falcons,2,73,0.35,brown,34,CB,72,190,80,90,59,27,65,66,59,84,75,0,-1,-1,0,-1,-1,-1,4,0,0,0,0,0,0
Lafayette,Pitts,CB_38_Lafayette_Pitts,Falcons,2,69,0.35,black,38,CB,70,196,79,82,54,22,50,68,58,77,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Dee,Alford,CB_41_Dee_Alford,Falcons,2,75,0.35,brown,41,CB,71,175,79,85,57,15,60,69,70,82,75,0,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0
Erik,Harris,S_23_Erik_Harris,Falcons,2,78,0.4,brown,23,S,74,225,81,91,72,20,69,77,67,79,75,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Richie,Grant,S_27_Richie_Grant,Falcons,2,74,0.25,black,27,S,72,200,89,87,58,23,73,72,64,83,75,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
Dean,Marlowe,S_21_Dean_Marlowe,Falcons,2,75,0.15,black,21,S,73,205,84,84,70,30,58,81,62,82,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Teez,Tabor,S_20_Teez_Tabor,Falcons,2,74,0.35,black,20,S,72,201,82,86,61,35,73,77,69,76,75,1,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Jaylinn,Hawkins,S_32_Jaylinn_Hawkins,Falcons,2,75,0.35,black,32,S,73,208,83,87,63,27,72,75,64,85,75,1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0
Brad,Hawkins,S_39_Brad_Hawkins,Falcons,2,65,0.35,brown,39,S,73,221,81,73,50,22,62,69,56,80,75,0,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0
Younghoe,Koo,K_7_Younghoe_Koo,Falcons,2,69,0.4,brown,7,K,69,185,63,71,47,36,36,27,15,74,75,0,-1,-1,2,-1,-1,-1,1,0,0,0,0,0,0
Seth,Vernon,P_37_Seth_Vernon,Falcons,2,70,0.4,blonde,37,P,77,230,71,73,51,29,24,31,15,58,75,2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Dom,Maggio,P_36_Dom_Maggio,Falcons,2,69,0.7,blonde,36,P,73,192,70,74,40,38,35,23,13,69,75,2,-1,-1,0,-1,-1,-1,6,0,0,0,0,0,0
Lamar,Jackson,QB_8_Lamar_Jackson,Ravens,3,90,0,black,8,QB,74,212,92,98,67,91,24,36,10,95,75,1,0,-1,2,-1,-1,-1,0,0,0,1,0,0,0
J.K.,Dobbins,RB_27_J.K._Dobbins,Ravens,3,83,0.15,black,27,RB,70,212,87,92,75,34,64,35,13,94,75,1,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0
Gus,Edwards,RB_35_Gus_Edwards,Ravens,3,77,0.35,blonde,35,RB,73,238,87,84,73,27,50,40,28,70,75,5,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0
Mike,Davis,RB_28_Mike_Davis,Ravens,3,74,0.15,black,28,RB,69,220,83,90,60,23,54,42,14,58,75,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
Justice,Hill,RB_41_Justice_Hill,Ravens,3,70,0.35,brown,41,RB,70,200,85,88,52,24,52,28,10,59,75,0,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0
Patrick,Ricard,RB_42_Patrick_Ricard,Ravens,3,77,1,blonde,42,RB,75,300,72,69,89,21,65,75,54,84,75,2,0,-1,2,-1,-1,-1,0,0,0,0,0,0,0
